INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,ZIP_CODE,CENSUS_TRACT,BIN,NTA,LOCATION,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
87 AVENUE A,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004327501,11/29/2017,Open,Site downloaded for cleaning,,988643,203496,40.725225,-73.984151,10009,  32  ,1005764,East Village,"(40.725225, -73.984151)",11729,70,4,50,5
78-02 ATLANTIC AVENUE,QUEENS,09 QUEENS,Precinct 102,32,4090050001,12/07/2017,Open,Site downloaded for cleaning,,1022640,188694,40.684515,-73.861580,11416,  34  ,4187034,Woodhaven,"(40.684515, -73.86158)",24012,46,3,41,60
36 WEST   37 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,04,1008380070,11/16/2017,Open,Site downloaded for cleaning,,988555,212841,40.750875,-73.984462,10018,  84  ,1015950,Midtown-Midtown South,"(40.750875, -73.984462)",12080,11,4,51,8
310 EAST    4 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1003730008,01/08/2018,Open,Site downloaded for cleaning,,989891,202341,40.722087,-73.979732,10009,  2601,1004380,Lower East Side,"(40.722087, -73.979732)",11729,70,4,50,5
1558 ATLANTIC AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,36,3012040024,12/12/2017,Open,Site downloaded for cleaning,,1000988,186262,40.677907,-73.939655,11213, 311  ,3330881,Crown Heights North,"(40.677907, -73.939655)",17615,16,2,49,49
144-07 ROCKAWAY BOULEVARD,QUEENS,12 QUEENS,Precinct 113,28,4120470038,12/07/2017,Open,Site downloaded for cleaning,,1041243,184809,40.673752,-73.794538,11436, 18401,4261550,Baisley Park,"(40.673752, -73.794538)",24671,41,3,46,71
7615 3 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3059500003,01/23/2018,Open,Site to be cleaned.,,976438,169011,40.630570,-74.028144,11209,  64  ,3149184,Bay Ridge,"(40.63057, -74.028144)",17216,10,2,44,41
105 STANTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004110053,11/16/2017,Open,Site downloaded for cleaning,,987673,202025,40.721188,-73.987651,10002,  3001,1087887,Chinatown,"(40.721188, -73.987651)",11723,70,4,32,4
94 ORCHARD STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004090001,12/14/2017,Open,Site downloaded for cleaning,,986995,200998,40.718370,-73.990098,10002,  18  ,1005284,Chinatown,"(40.71837, -73.990098)",11723,70,4,32,4
565 WEST  174 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,10,1021310001,01/03/2018,Open,Site downloaded for cleaning,,1001898,246939,40.844448,-73.936215,10033, 261  ,1063150,Washington Heights South,"(40.844448, -73.936215)",13091,47,4,39,21
10-37 46 AVENUE,QUEENS,02 QUEENS,Precinct 108,26,4000490015,03/10/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,997619,211323,40.746700,-73.951752,11101,   7  ,4000000,Hunters Point-Sunnyside-West Maspeth,"(40.7467, -73.951752)",16858,53,3,33,66
1145 2 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,04,1014150021,02/09/2018,Open,Site downloaded for cleaning,,994283,216673,40.761388,-73.963783,10065, 110  ,1078347,Lenox Hill-Roosevelt Island,"(40.761388, -73.963783)",10090,23,4,51,11
115-42 SUTPHIN BOULEVARD,QUEENS,12 QUEENS,Precinct 113,28,4119940013,12/07/2017,Open,Site downloaded for cleaning,,1041775,188414,40.683643,-73.792590,11434, 190  ,4584634,Baisley Park,"(40.683643, -73.79259)",24669,41,3,46,71
3690 3 AVENUE,BRONX,03 BRONX,Precinct 42,16,2029250033,01/23/2018,Open,Site downloaded for cleaning,,1010945,243496,40.834976,-73.903530,10456, 14701,2009613,Claremont-Bathgate,"(40.834976, -73.90353)",10934,34,5,42,25
2359 MCDONALD AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,47,3071470011,12/19/2017,Open,Site downloaded for cleaning,,991597,155933,40.594674,-73.973545,11223, 398  ,3193448,Gravesend,"(40.594674, -73.973545)",18183,32,2,45,36
125 BOWERY,MANHATTAN,03 MANHATTAN,Precinct 5,01,1003040016,12/18/2017,Open,Site downloaded for cleaning,,985658,200946,40.718227,-73.994921,10002,  16  ,1003931,Chinatown,"(40.718227, -73.994921)",11723,70,4,32,2
125 EAST BURNSIDE AVENUE,BRONX,05 BRONX,Precinct 46,14,2031690059,01/08/2018,Open,Site downloaded for cleaning,,1010483,250060,40.852993,-73.905174,10453, 241  ,2013846,Mount Hope,"(40.852993, -73.905174)",10931,6,5,29,29
22-08 ASTORIA BOULEVARD,QUEENS,01 QUEENS,Precinct 114,22,4005420001,12/04/2017,Open,Site downloaded for cleaning,,1005027,220514,40.771912,-73.924988,11102,  69  ,4006120,Old Astoria,"(40.771912, -73.924988)",16859,39,3,4,72
3017 GLENWOOD HOUSES,BROOKLYN,18 BROOKLYN,Precinct 63,45,3079780001,12/11/2017,Open,Public Property (Non-City),,1006164,170625,40.634938,-73.921024,11234, 94402,3000000,Flatlands,"(40.634938, -73.921024)",13825,5,2,26,38
5116 7 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008010143,02/06/2018,Open,Site downloaded for cleaning,,982402,173080,40.641741,-74.006659,11220,  98  ,3013725,Sunset Park East,"(40.641741, -74.006659)",18180,9,2,7,45
1047 BEDFORD AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3017930001,11/13/2017,Closed,Cleaning crew dispatched. No graffiti on property.,02/12/2018,996771,189990,40.688147,-73.954852,11216, 243  ,3050071,Bedford,"(40.688147, -73.954852)",17618,69,2,49,51
230 SEAMAN AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10,1022500023,11/26/2017,Open,Site downloaded for cleaning,,1006698,256728,40.871305,-73.918834,10034, 303  ,1065078,Marble Hill-Inwood,"(40.871305, -73.918834)",13092,47,4,39,22
580 WEST  161 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,07,1021190005,11/30/2017,Open,Site downloaded for cleaning,,1000246,243927,40.836184,-73.942193,10032, 245  ,1062823,Washington Heights South,"(40.836184, -73.942193)",13090,47,4,23,21
29 WEST    9 STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38,3005340035,01/17/2018,Open,Site downloaded for cleaning,,982720,185900,40.676929,-74.005516,11231,  59  ,3008441,Carroll Gardens-Columbia Street-Red Hook,"(40.676929, -74.005516)",13514,14,2,7,48
438 COURT STREET,BROOKLYN,06 BROOKLYN,Precinct 76,39,3003660029,11/10/2017,Open,Site downloaded for cleaning,,984943,186677,40.679062,-73.997502,11231,  65  ,3005292,Carroll Gardens-Columbia Street-Red Hook,"(40.679062, -73.997502)",13514,14,2,27,48
2717 RESERVOIR AVENUE,BRONX,08 BRONX,Precinct 50,14,2032480046,01/08/2018,Open,Site downloaded for cleaning,,1012064,255928,40.869094,-73.899435,10468, 26701,2015259,Van Cortlandt Village,"(40.869094, -73.899435)",11606,48,5,29,33
2 WEST  126 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,09,1017230040,01/19/2018,Open,Site downloaded for cleaning,,1000238,233397,40.807283,-73.942247,10027, 200  ,1053508,Central Harlem South,"(40.807283, -73.942247)",12424,18,4,36,18
55 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003090020,11/06/2017,Open,Site downloaded for cleaning,,986990,200379,40.716671,-73.990116,10002,  16  ,1004014,Chinatown,"(40.716671, -73.990116)",11723,70,4,32,4
2403 castle hill avenue,BRONX,01 BRONX,Unspecified,,,12/18/2017,Open,Property Research Required,,,,,,,,,,,,,,,
2458 PITKIN AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3040200010,12/08/2017,Open,Site downloaded for cleaning,,1017101,184856,40.674003,-73.881571,11208,1166  ,3089278,East New York,"(40.674003, -73.881571)",17215,45,2,37,47
630 10 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 18,03,1010540062,11/16/2017,Open,Site downloaded for cleaning,,985857,216661,40.761361,-73.994199,10036, 121  ,1026429,Clinton,"(40.761361, -73.994199)",13094,12,4,10,10
138-16 FARMERS BOULEVARD,QUEENS,12 QUEENS,Precinct 113,31,4125820031,01/23/2018,Open,Site downloaded for cleaning,,1049630,184202,40.672028,-73.764309,11434, 33402,4270913,Springfield Gardens North,"(40.672028, -73.764309)",24669,41,3,47,71
1275 BROADWAY,BROOKLYN,04 BROOKLYN,Precinct 83,34,3032930022,12/07/2017,Open,Site downloaded for cleaning,,1005121,191049,40.691038,-73.924740,11221, 395  ,3075272,Bushwick South,"(40.691038, -73.92474)",18181,42,2,30,53
1100 ELDER AVENUE,BRONX,09 BRONX,Precinct 43,18,2037400005,01/03/2018,Open,Site downloaded for cleaning,,1017832,240385,40.826413,-73.878658,10472,  5002,2023840,Soundview-Bruckner,"(40.826413, -73.878658)",11610,58,5,31,26
83-26 BROADWAY,QUEENS,04 QUEENS,Precinct 110,25,4015450028,12/12/2017,Open,Site downloaded for cleaning,,1017699,209110,40.740572,-73.879294,11373, 485  ,4038699,Elmhurst-Maspeth,"(40.740572, -73.879294)",14784,66,3,5,68
2995 CONEY ISLAND AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,48,3088090026,02/20/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,995353,151736,40.583150,-73.960028,11235, 61003,3247957,Brighton Beach,"(40.58315, -73.960028)",13826,21,2,15,35
3574 NOSTRAND AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3073860131,11/27/2017,Open,Site downloaded for cleaning,,1000574,156752,40.596910,-73.941219,11229, 59402,3201581,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,"(40.59691, -73.941219)",13512,32,2,15,36
104-37 ATLANTIC AVENUE,QUEENS,09 QUEENS,Precinct 102,32,4093130046,11/16/2017,Closed,Cleaning crew dispatched.  Property cleaned.,03/05/2018,1028407,190865,40.690447,-73.840773,11418, 12602,4195381,Richmond Hill,"(40.690447, -73.840773)",24012,46,3,41,60
2211 CONEY ISLAND AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3068170047,12/12/2017,Open,Site downloaded for cleaning,,994922,159099,40.603360,-73.961568,11223, 556  ,3329276,Homecrest,"(40.60336, -73.961568)",18183,32,2,15,36
510 61 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3057920010,11/30/2017,Open,Site downloaded for cleaning,,979729,171936,40.638600,-74.016290,11220, 122  ,3143773,Sunset Park West,"(40.6386, -74.01629)",18180,9,2,7,45
165 PACIFIC STREET,BROOKLYN,06 BROOKLYN,Precinct 76,39,3002860046,01/17/2018,Open,Site downloaded for cleaning,,985915,190445,40.689404,-73.993996,11201,  45  ,3000000,Carroll Gardens-Columbia Street-Red Hook,"(40.689404, -73.993996)",16865,14,2,27,48
217 EAST  118 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,08,1017830109,12/01/2017,Open,Site downloaded for cleaning,,1001290,230384,40.799011,-73.938455,10035, 188  ,1054549,East Harlem North,"(40.799011, -73.938455)",13093,7,4,35,16
3166 FULTON STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041370025,11/14/2017,Open,Site downloaded for cleaning,,1018016,187740,40.681916,-73.878258,11208,1174  ,3092591,Cypress Hills-City Line,"(40.681916, -73.878258)",17215,45,2,37,47
107A 7 AVENUE,BROOKLYN,01 BROOKLYN,Unspecified,,3010650069,12/04/2017,Open,Site downloaded for cleaning,,,,,,,,,,,,,,,
1470 CONEY ISLAND AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065360013,12/12/2017,Open,Site downloaded for cleaning,,994084,165727,40.621554,-73.964576,11230, 454  ,3327810,Ocean Parkway South,"(40.621554, -73.964576)",13513,2,2,18,39
1255 CASTLE HILL AVENUE,BRONX,09 BRONX,Precinct 43,18,2038130042,12/20/2017,Open,Site downloaded for cleaning,,1025385,242869,40.833199,-73.851352,10462,  92  ,2026570,Westchester-Unionport,"(40.833199, -73.851352)",11271,58,5,31,26
50 WEST MOUNT EDEN AVENUE,BRONX,04 BRONX,Precinct 44,14,2028650049,02/13/2018,Open,Site downloaded for cleaning,,1007468,247086,40.844839,-73.916083,10452, 209  ,2090448,West Concourse,"(40.844839, -73.916083)",10930,50,5,29,27
164-30 HILLSIDE AVENUE,QUEENS,12 QUEENS,Precinct 103,24,4098140026,12/07/2017,Open,Site downloaded for cleaning,,1040301,197692,40.709118,-73.797827,11432, 44602,4210057,Jamaica,"(40.709118, -73.797827)",24340,41,3,24,61
77 78 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,43,3059570059,11/21/2017,Open,Site downloaded for cleaning,,974516,169102,40.630817,-74.035069,11209,  44  ,3149665,Bay Ridge,"(40.630817, -74.035069)",17216,10,2,44,41
1504 ST NICHOLAS AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10,1021570033,11/22/2017,Open,Site downloaded for cleaning,,1003116,249669,40.851939,-73.931805,10033, 269  ,1063778,Washington Heights North,"(40.851939, -73.931805)",13091,47,4,39,22
32-72 48 STREET,QUEENS,01 QUEENS,Precinct 114,26,4007230068,12/22/2017,Open,Site downloaded for cleaning,,1008358,214547,40.755526,-73.912983,11103, 161  ,4013155,Astoria,"(40.755526, -73.912983)",16860,39,3,33,72
3614 14 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053490097,01/24/2018,Open,Site to be cleaned.,,989109,172753,40.640843,-73.982492,11218, 226  ,3125057,Borough Park,"(40.640843, -73.982492)",17620,2,2,27,39
191 RODNEY STREET,BROOKLYN,01 BROOKLYN,Precinct 90,33,3021887503,02/02/2018,Open,Site to be cleaned.,,995580,196373,40.705668,-73.959135,11211, 535  ,3259393,Williamsburg,"(40.705668, -73.959135)",17613,36,2,38,56
299 EAST  158 STREET,BRONX,01 BRONX,Precinct 40,17,2024180001,02/15/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1007053,239189,40.823165,-73.917610,10451,  69  ,2001887,Melrose South-Mott Haven North,"(40.823165, -73.91761)",10929,49,5,43,23
101 EAST KINGSBRIDGE ROAD,BRONX,07 BRONX,Precinct 52,14,2033140001,01/29/2018,Open,Site downloaded for cleaning,,1013228,254987,40.866508,-73.895231,10468, 40304,2017410,Van Cortlandt Village,"(40.866508, -73.895231)",11606,24,5,29,34
3451 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,07,1020880036,11/16/2017,Open,Site downloaded for cleaning,,997397,239355,40.823640,-73.952498,10031, 225  ,1062321,Hamilton Heights,"(40.82364, -73.952498)",12428,37,4,23,19
32-21 NEWTOWN AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4006190001,03/12/2018,Open,Site to be cleaned.,,1006373,218605,40.766669,-73.920135,11102,  71  ,4008605,Old Astoria,"(40.766669, -73.920135)",16859,39,3,4,72
101 pitt street,MANHATTAN,03 MANHATTAN,Unspecified,,,01/09/2018,Open,Property Research Required,,,,40.719019,-73.982147,10002,  2201,,Lower East Side,"(40.719019, -73.982147)",11723,70,4,50,4
113-03 LIBERTY AVENUE,QUEENS,10 QUEENS,Precinct 106,28,4095180030,11/09/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/22/2017,1031585,189050,40.685449,-73.829326,11419,  98  ,4201890,South Ozone Park,"(40.685449, -73.829326)",24015,62,3,46,64
420 EAST TREMONT AVENUE,BRONX,06 BRONX,Precinct 48,15,2029000067,11/17/2017,Open,Site downloaded for cleaning,,1011860,248074,40.847538,-73.900205,10457, 231  ,2009457,Mount Hope,"(40.847538, -73.900205)",10935,35,5,22,31
227 HALL OF SCIENCE,QUEENS,81 QUEENS,Precinct 110,21,4020180001,12/07/2017,Open,Site downloaded for cleaning,,1025338,211504,40.747095,-73.851670,11368, 38302,4441124,park-cemetery-etc-Queens,"(40.747095, -73.85167)",14510,67,3,21,68
3405 THIRD AVENUE,BRONX,03 BRONX,Precinct 42,16,2023710050,01/31/2018,Open,Site to be cleaned.,,1010002,241143,40.828520,-73.906947,10456, 185  ,2117399,Morrisania-Melrose,"(40.82852, -73.906947)",10934,34,5,42,25
572 SMITH STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38,3004880006,01/17/2018,Open,Site downloaded for cleaning,,984329,183934,40.671533,-73.999715,11231,  53  ,3008210,Carroll Gardens-Columbia Street-Red Hook,"(40.671533, -73.999715)",13514,14,2,7,48
28-90 atlantic ave,QUEENS,01 QUEENS,Unspecified,,,12/07/2017,Open,Property Research Required,,,,,,,,,,,,,,,
386 14 STREET,BROOKLYN,06 BROOKLYN,Precinct 78,39,3011020008,01/16/2018,Open,Site downloaded for cleaning,,988808,181053,40.663625,-73.983571,11215, 149  ,3325211,Park Slope-Gowanus,"(40.663625, -73.983571)",17617,14,2,27,50
80-46 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,32,4089190017,11/10/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/21/2017,1022900,191545,40.692339,-73.860627,11421,  10  ,4183711,Woodhaven,"(40.692339, -73.860627)",24017,46,3,41,60
682 jamaica ave,QUEENS,01 QUEENS,Unspecified,,,12/18/2017,Open,Property Research Required,,,,,,,,,,,,,,,
82 CHURCH AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053520084,01/24/2018,Open,Site to be cleaned.,,989778,173364,40.642519,-73.980081,11218, 486  ,3125213,Kensington-Ocean Parkway,"(40.642519, -73.980081)",17620,2,2,27,39
40-15 JUNCTION BOULEVARD,QUEENS,04 QUEENS,Precinct 110,21,4016050064,01/17/2018,Open,Site downloaded for cleaning,,1020520,212056,40.748647,-73.869098,11368, 375  ,4040220,North Corona,"(40.748647, -73.869098)",14510,66,3,21,68
199 AVENUE J,BROOKLYN,12 BROOKLYN,Precinct 66,44,,12/19/2017,Open,Property Research Required,,991245,166513,40.623714,-73.974802,11230, 46202,,Ocean Parkway South,"(40.623714, -73.974802)",13513,2,2,18,39
1223 61 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,44,3057180063,12/16/2017,Open,Site downloaded for cleaning,,984065,168509,40.629195,-74.000666,11219, 192  ,3141295,Borough Park,"(40.629195, -74.000666)",17621,2,2,18,39
1310 CONEY ISLAND AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065230089,12/12/2017,Open,Site downloaded for cleaning,,993862,167261,40.625764,-73.965373,11230, 456  ,3171017,Midwood,"(40.625764, -73.965373)",13513,2,2,18,39
19 LINCOLN AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041090107,11/08/2017,Open,Site downloaded for cleaning,,1020093,190592,40.689735,-73.870754,11208,118202,3256589,Cypress Hills-City Line,"(40.689735, -73.870754)",17215,45,2,37,47
2226 SURF AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,47,3070710001,12/11/2017,Open,Site downloaded for cleaning,,987295,148468,40.574186,-73.989039,11224, 352  ,3189642,Seagate-Coney Island,"(40.574186, -73.989039)",18184,21,2,45,35
1649 PACIFIC STREET,BROOKLYN,08 BROOKLYN,Precinct 77,36,3013350001,12/13/2017,Open,Site downloaded for cleaning,,1002050,185895,40.676898,-73.935827,11213, 309  ,3035545,Crown Heights North,"(40.676898, -73.935827)",17615,16,2,49,49
1555 FULTON STREET,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018580039,02/20/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1001135,186963,40.679831,-73.939123,11216, 273  ,3338755,Stuyvesant Heights,"(40.679831, -73.939123)",17615,69,2,49,51
1932 FULTON STREET,BROOKLYN,03 BROOKLYN,Precinct 81,41,3017040037,03/09/2018,Open,Site to be cleaned.,,1005947,186617,40.678871,-73.921776,11233, 299  ,3338117,Crown Heights North,"(40.678871, -73.921776)",13516,69,2,17,52
3088 HULL AVENUE,BRONX,07 BRONX,Precinct 52,11,2033320034,11/30/2017,Closed,Cleaning crew dispatched.  Owner refused.,02/26/2018,1017789,257025,40.872085,-73.878730,10467, 425  ,2017920,Norwood,"(40.872085, -73.87873)",11605,24,5,40,34
6505 14 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,38,3057550008,12/21/2017,Open,Site downloaded for cleaning,,984410,166814,40.624543,-73.999424,11219, 190  ,3142328,Bensonhurst West,"(40.624543, -73.999424)",17621,1,2,7,37
830 MACON STREET,BROOKLYN,03 BROOKLYN,Precinct 81,41,3014970039,03/12/2018,Open,Site to be cleaned.,,1007099,188761,40.684753,-73.917615,11233, 377  ,3040162,Stuyvesant Heights,"(40.684753, -73.917615)",13516,69,2,17,52
1560 BRUCKNER BOULEVARD,BRONX,09 BRONX,Precinct 43,18,2036530001,02/08/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1018578,239392,40.823685,-73.875968,10473,  28  ,2120958,Soundview-Castle Hill-Clason Point-Harding Park,"(40.823685, -73.875968)",11611,58,5,31,26
120-20 101 AVENUE,QUEENS,09 QUEENS,Precinct 102,28,4094880010,12/12/2017,Open,Site downloaded for cleaning,,1032878,190830,40.690328,-73.824651,11419, 156  ,4200609,Richmond Hill,"(40.690328, -73.824651)",24015,46,3,46,60
501 BROADWAY,MANHATTAN,02 MANHATTAN,Precinct 1,01,1004847501,01/25/2018,Open,Site to be cleaned.,,984395,202413,40.722130,-73.999578,10012,  49  ,1087558,SoHo-TriBeCa-Civic Center-Little Italy,"(40.72213, -73.999578)",12075,57,4,32,1
143-16 41 AVENUE,QUEENS,07 QUEENS,Precinct 109,20,4050480013,12/29/2017,Open,Site downloaded for cleaning,,1033201,216235,40.760056,-73.823301,11355, 855  ,4443459,Flushing,"(40.760056, -73.823301)",14190,22,3,3,67
652 10 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 18,03,1010550061,11/21/2017,Open,Site downloaded for cleaning,,986004,216925,40.762086,-73.993668,10036, 121  ,1026472,Clinton,"(40.762086, -73.993668)",13094,12,4,10,10
826 6 AVENUE,MANHATTAN,05 MANHATTAN,Precinct 13,03,1008300005,12/15/2017,Open,Site downloaded for cleaning,,986951,211206,40.746388,-73.990252,10001,  76  ,1015712,Midtown-Midtown South,"(40.746388, -73.990252)",11722,11,4,10,7
2349 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3068580058,01/12/2018,Open,Site downloaded for cleaning,,986911,157828,40.599878,-73.990418,11214, 298  ,3185338,Bensonhurst East,"(40.599878, -73.990418)",17616,1,2,45,37
513 CONEY ISLAND AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3051130032,01/09/2018,Open,Site downloaded for cleaning,,992444,174306,40.645103,-73.970473,11218,1522  ,3117437,Flatbush,"(40.645103, -73.970473)",17620,60,2,11,43
85-23 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,32,,12/18/2017,Open,Property Research Required,,1023402,191620,40.692543,-73.858816,11421,  12  ,,Woodhaven,"(40.692543, -73.858816)",24017,46,3,41,60
3855 10 AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10,1022030001,12/15/2017,Open,Site downloaded for cleaning,,1006579,254057,40.863974,-73.919273,10034, 299  ,1064508,Marble Hill-Inwood,"(40.863974, -73.919273)",13092,47,4,39,22
63 FENIMORE STREET,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050370001,02/02/2018,Open,Site downloaded for cleaning,,995425,179051,40.658124,-73.959723,11225, 79801,3115281,Prospect Lefferts Gardens-Wingate,"(40.658124, -73.959723)",13509,17,2,11,44
1615 GRAND AVENUE,BRONX,05 BRONX,Precinct 46,14,2028660004,12/04/2017,Open,Site downloaded for cleaning,,1007435,247730,40.846607,-73.916200,10453, 21502,2008447,University Heights-Morris Heights,"(40.846607, -73.9162)",10931,6,5,29,29
92 92 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,43,,11/21/2017,Open,Property Research Required,,973593,165396,40.620644,-74.038388,11209,  5202,,Bay Ridge,"(40.620644, -74.038388)",17216,10,2,44,41
380 MONTAUK AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42,3040710052,12/07/2017,Open,Site downloaded for cleaning,,1018448,183105,40.669192,-73.876723,11208,1118  ,3090304,East New York,"(40.669192, -73.876723)",17215,45,2,25,47
